tmdb_id,title,original_title,overview,tagline,release_date,release_year,release_month,original_language,spoken_languages,genres,runtime_minutes,popularity,vote_average,vote_count,adult,cast,director,production_countries,collection_name,retrieval_month
665139,Thou Shalt Not Hate,Non odiare,"Simone Segre, a renowned surgeon of Jewish origins, lives in a city in the north-east of Italy. A quiet life, an elegant apartment and no connection with his past. One day he finds himself assisting a man victim of a hit and run accident. But when he discovers a nazi tattoo on his chest, Simone abandons him to his destiny. Filled with guilt, he ends up tracing the man’s family: Marica, the eldest daughter; Marcello, a teenager plagued with racial hate; and little Paolo. The night will come when Marica knocks at Simone’s door and unknowingly asks for payback.",,2020-09-10,2020,9,it,it,Drama,96,3.8457,6.207,111,False,"Alessandro Gassmann,Sara Serraiocco,Luka Zunic,Lorenzo Buonora,Lorenzo Acquaviva",Mauro Mancini,"IT,PL",,2020-09-01
795193,Hollywood Fringe,Hollywood Fringe,"Two married, down-on-their-luck, actors decide to put on a site-specific play about their unsuccessful life in Hollywood.",Everyone gets older... But not everyone makes it big.,2020-09-01,2020,9,en,en,"Comedy,Music",91,4.0402,1.5,2,False,"Jennifer Predinger,Justin Kirk,Erica Hernandez,Karine Bagoumian,Shaughn Buchholz",Wyatt McDill,US,,2020-09-01
1009722,Flash,Flash,"A police squad on a mission… A football match… Tension rises on both sides… The shooting starts and the team must face the pressure. When rivalry and betrayal slide onto the field, the team spirit and trust fly to bits.",,2020-09-05,2020,9,fr,fr,Drama,0,2.1824,7.3,3,False,"Adel Bencherif,Guillaume Delorme,Dali Benssalah,Ayhan Vatandas,Fadi Shall",Barney Frydman,"BE,FR",,2020-09-01
726075,Rymdresan,Rymdresan,"12-year-old Mariana and her stepbrother Marcus end up in a home-built rocket. Behind the rocket construction are Albert, a slightly crazy scientist, and his helper Lemming, a talking lemming.",,2020-09-11,2020,9,sv,sv,"Family,Science Fiction,Adventure,Comedy",74,2.1598,6.3,3,False,"Robert Gustafsson,Teresa Cortes Eliasson,Theodor Haraldsson,Kim Sulocki,Jennie Silfverhjelm",Patrik Forsberg,SE,,2020-09-01
809529,Hermanas,Hermanas,"An immense fall-out between two sisters. A time for reproach and love. Something for a whole life between two beings produced by the same body but profoundly different. Together. And yet, irreconcilable. A fight to the death. Head-to-head. These sisters are our sisters. They are the multitude who live inside each one of us. That multitude is called: need, truth, struggle.",,2020-09-18,2020,9,es,,,89,1.7259,0.0,0,False,"Bárbara Lennie,Irene Escolar",Pascal Rambert,,,2020-09-01
728129,Hopper/Welles,Hopper/Welles,"Captures a 1970 meeting between the movie industry titan Orson Welles and the then-rising star Dennis Hopper, who had just made Easy Rider.",,2020-09-09,2020,9,en,en,Documentary,130,3.6283,5.9,4,False,"Orson Welles,Dennis Hopper,Janice Pennington,Glenn Jacobson",Orson Welles,"US,PL",,2020-09-01
728131,Omelia Contadina,Omelia Contadina,A farming community gathers on a plateau on the border of three regions for the funeral of traditional agriculture. It’s a film to ward off the disappearance of a millenary culture.,,2020-09-08,2020,9,it,it,Documentary,10,2.0235,6.7,28,False,"Iris Pulvano,Luciano Vergaro,Dario Sforza,Emanuele La Barbera,Elisa Cortese",Alice Rohrwacher,"FR,IT",,2020-09-01
740422,VOMO: Vote or Miss Out,VOMO: Vote or Miss Out,Some of the biggest names in comedy and music come together for a nonpartisan comedy special event to provide information on voting so that every voter has the knowledge and incentive to participate in the 2020 fall US election.,,2020-09-14,2020,9,en,en,"Comedy,Documentary,TV Movie",45,1.9394,10.0,2,False,"Jon Hamm,2 Chainz,Lil Baby,Cristela Alonzo,Whitney Cummings",,US,,2020-09-01
745031,The Watchmaker,The Watchmaker,"A mockumentary profile of master Japanese watchmaker Takumi Oshiro, who is on the verge of completing one of his greatest masterpieces.",,2020-09-27,2020,9,ja,"en,ja",Comedy,5,2.4187,0.0,0,False,Hidetoshi Imura,Charlie Fonville,US,,2020-09-01
797766,My Sisters,My Sisters,A women's support group becomes the target of a misogynistic brotherhood.,Sometimes the truth can't wait...,2020-09-22,2020,9,en,en,"Drama,Mystery,Thriller",91,1.8172,0.0,0,False,"Chelsea Averill,Cait Bidwell,Jonathan Bocinsky,Carson Cash,Sara Chandler",Adam Justice Hardy,US,,2020-09-01
802377,The Billionaire,The Billionaire,"A young billionaire of South Asian descent is bound by the conditions set by his beloved, deceased father in order to get married.",Money. Morals. Matrimony.,2020-09-10,2020,9,en,en,"Comedy,Drama,Romance",116,4.4956,2.7,3,False,"Jordan Belfi,Randy Wayne,Heather Tom,Davi Santos,Gehan Cooray",Michael Philip,US,,2020-09-01
769098,Dirty Fears,Dirty Fears,"After an escaped mental patient takes possession and care of a mysterious mountain motel, what was once a place for rest and relaxation becomes a place of nightmares.",,2020-09-10,2020,9,en,"en,es",Horror,83,3.8614,5.7,23,False,"Sokol Martin Pepkolaj,Ieva Lykos,Melina Arena,Francesco David Clemente,Michael Madsen",Carlo Fusco,"IT,US",,2020-09-01
642121,The Stranger by the Shore,海辺のエトランゼ,"Abandoned after coming out, Shun befriends Mio just before he has to move. Years later, Mio returns with a confession. How will Shun feel?",,2020-09-11,2020,9,ja,ja,"Animation,Romance,Drama",59,3.394,7.944,152,False,"Taishi Murata,Yoshitsugu Matsuoka,Yu Shimamura,Kanae Itou,Sayaka Nakaya",Akiyo Ohashi,JP,,2020-09-01
742473,Thursday,Thursday,"Thursday shot from filmmaker Galen Johnson's high-rise apartment during COVID-19 “lockdown” in Winnipeg, captures people going about their daily routines in the city's eerily empty streets, yards and parking lots, on their balconies and on the riverbanks. The extreme distance and the diminutive scale of humans is paired with sound close-ups—a combination that embodies the strange, heightened intensity of feeling of the time, knowing an era-defining tragedy is happening yet being so physically removed.",,2020-09-09,2020,9,en,,Documentary,15,2.8746,0.0,0,False,,Galen Johnson,CA,,2020-09-01
